OrderID,OrderDate,Category,Region,Sales,Quantity,Discount,SubCategory,Profit
O76,2023-12-13,Furniture,West,224.02,5,0.27,Furnishings,24.49
O77,2034-05-20,Office Supplies,South,470.35,7,0.05,Paper,91.09
O78,2031-12-08,Office Supplies,East,26.18,8,0.02,Paper,6.91
O79,2034-04-22,Office Supplies,Central,620.95,7,0.09,Binders,163.27
O80,2022-01-15,Furniture,South,235.04,4,0.17,Bookcases,46.36
O81,2022-05-08,Office Supplies,Central,956.13,5,0.26,Art,170.4
O82,2026-08-25,Office Supplies,East,1360.71,6,0.04,Paper,313.35
O83,2031-08-21,Office Supplies,Central,1751.52,6,0.12,Binders,262.76
O84,2021-03-06,Office Supplies,West,1503.45,9,0.08,Paper,414.45
O85,2028-01-13,Office Supplies,West,1878.4,2,0.0,Binders,437.59
O86,2026-07-21,Office Supplies,Central,126.72,6,0.24,Art,21.85
O87,2028-05-19,Furniture,East,44.12,3,0.24,Bookcases,8.85
O88,2025-02-04,Office Supplies,East,1329.45,2,0.07,Paper,247.1
O89,2022-01-27,Office Supplies,West,592.92,6,0.05,Paper,156.99
O90,2033-05-12,Technology,East,521.93,4,0.04,Machines,147.92
O91,2033-04-02,Furniture,Central,675.16,5,0.14,Bookcases,163.37
O92,2030-10-02,Furniture,South,554.2,5,0.07,Tables,103.72
O93,2027-03-29,Furniture,Central,1032.64,3,0.15,Furnishings,256.89
O94,2029-06-27,Furniture,West,891.49,4,0.12,Tables,137.4
O95,2021-07-20,Office Supplies,West,1034.61,3,0.06,Paper,256.52
O96,2034-05-08,Office Supplies,West,1351.97,7,0.23,Art,204.84
O97,2029-07-02,Technology,East,786.52,1,0.05,Machines,163.8
O98,2033-08-04,Technology,Central,517.59,6,0.24,Phones,64.85
O99,2027-09-21,Furniture,South,349.08,4,0.17,Chairs,48.75
O100,2030-12-25,Technology,Central,711.96,1,0.25,Accessories,98.86
O101,2023-03-16,Technology,South,1488.78,1,0.0,Machines,305.69
O102,2028-06-24,Furniture,Central,1518.28,5,0.22,Bookcases,339.09
O103,2028-08-05,Furniture,West,1340.47,5,0.02,Bookcases,287.56
O104,2025-04-20,Technology,South,483.38,7,0.29,Accessories,90.83
O105,2028-05-14,Office Supplies,Central,1184.41,4,0.21,Binders,265.94
O106,2031-07-08,Technology,East,1149.97,9,0.1,Machines,250.41
O107,2023-10-26,Technology,East,978.85,4,0.1,Machines,219.91
O108,2022-05-18,Office Supplies,Central,1108.96,7,0.26,Binders,127.85
O109,2033-04-21,Office Supplies,West,993.75,5,0.27,Art,213.19
O110,2023-05-21,Furniture,South,1139.6,5,0.27,Tables,188.74
O111,2033-04-16,Furniture,Central,1436.7,6,0.24,Furnishings,320.06
O112,2021-07-26,Technology,East,237.06,8,0.25,Machines,32.53
O113,2025-01-24,Office Supplies,South,1504.26,5,0.17,Binders,372.23
O114,2023-05-14,Furniture,East,289.05,3,0.01,Chairs,75.8
O115,2028-08-22,Technology,East,151.92,6,0.03,Copiers,47.86
O116,2022-07-18,Office Supplies,Central,1952.64,2,0.19,Paper,243.38
O117,2032-06-23,Technology,East,1914.84,8,0.12,Phones,451.0
O118,2025-10-24,Furniture,South,139.66,8,0.17,Chairs,30.28
O119,2025-08-06,Furniture,West,897.64,3,0.07,Chairs,236.46
O120,2029-11-17,Office Supplies,Central,388.76,8,0.19,Art,66.89
O121,2033-09-11,Technology,South,980.98,9,0.07,Accessories,262.5
O122,2023-11-26,Office Supplies,Central,1663.75,5,0.14,Paper,276.05
O123,2025-09-19,Furniture,East,1902.21,5,0.14,Furnishings,417.3
O124,2030-01-28,Furniture,East,1275.82,6,0.05,Furnishings,329.33
O125,2029-08-24,Technology,South,720.73,7,0.26,Phones,84.87
O126,2028-03-10,Technology,South,1214.58,3,0.16,Copiers,287.65
O127,2028-06-22,Technology,West,637.76,5,0.26,Copiers,52.38
O128,2025-05-17,Office Supplies,South,1821.45,1,0.08,Paper,338.27
O129,2029-05-19,Technology,South,1743.39,5,0.05,Copiers,428.3
O130,2028-05-17,Technology,Central,1125.3,4,0.01,Phones,369.95
O131,2034-05-24,Furniture,East,663.1,1,0.03,Furnishings,179.88
O132,2030-12-07,Furniture,South,600.91,7,0.04,Tables,184.06
O133,2024-09-25,Technology,West,86.17,1,0.02,Accessories,23.06
O134,2026-06-05,Technology,South,1635.33,8,0.27,Machines,298.97
O135,2025-07-22,Furniture,East,911.76,2,0.27,Bookcases,103.82
O136,2025-03-10,Technology,South,663.76,5,0.28,Accessories,120.98
O137,2026-08-01,Office Supplies,Central,952.8,6,0.29,Art,109.81
O138,2030-01-16,Office Supplies,East,1641.1,9,0.15,Art,342.7
O139,2027-02-16,Office Supplies,South,266.74,7,0.16,Storage,39.05
O140,2024-07-30,Technology,Central,1718.16,6,0.04,Copiers,546.49
O141,2032-01-13,Furniture,East,1797.07,5,0.04,Chairs,512.56
O142,2028-04-29,Technology,South,1894.48,6,0.23,Copiers,405.09
O143,2024-07-06,Technology,Central,807.03,4,0.26,Copiers,81.65
O144,2022-12-11,Furniture,West,449.94,1,0.24,Furnishings,40.56
O145,2033-12-28,Furniture,Central,759.81,9,0.25,Tables,95.42
O146,2033-01-31,Furniture,West,679.17,5,0.08,Furnishings,161.3
O147,2031-04-07,Office Supplies,South,368.78,8,0.14,Binders,92.33
O148,2034-02-01,Technology,Central,1222.39,7,0.14,Machines,231.84
O149,2022-10-26,Furniture,West,963.72,8,0.3,Chairs,87.21
O150,2026-06-22,Technology,East,1734.09,1,0.28,Copiers,200.95
O151,2030-06-08,Office Supplies,Central,83.58,9,0.18,Paper,18.01
O152,2031-04-02,Office Supplies,South,1294.86,1,0.04,Paper,298.38
O153,2025-02-04,Furniture,East,1530.64,3,0.08,Furnishings,469.71
O154,2030-01-18,Furniture,West,1523.78,8,0.11,Tables,260.94
O155,2031-04-22,Technology,Central,1774.43,1,0.26,Phones,324.66
O156,2026-01-28,Furniture,Central,1463.49,1,0.05,Chairs,385.45
O157,2033-10-04,Technology,South,1857.06,6,0.07,Copiers,371.35
O158,2024-07-15,Furniture,East,678.66,5,0.1,Furnishings,178.52
O159,2030-10-22,Technology,Central,1016.35,6,0.28,Copiers,129.21
O160,2030-06-20,Technology,Central,47.88,3,0.15,Accessories,10.89
O161,2025-06-25,Technology,East,33.78,6,0.19,Copiers,6.9
O162,2031-02-14,Technology,Central,495.45,2,0.12,Accessories,77.59
O163,2029-03-19,Office Supplies,East,219.6,8,0.06,Binders,65.0
O164,2029-08-19,Technology,East,535.22,6,0.07,Machines,143.02
O165,2022-11-30,Furniture,East,370.55,4,0.24,Furnishings,73.03
O166,2026-12-01,Office Supplies,South,76.47,4,0.27,Storage,10.11
O167,2032-03-21,Office Supplies,East,1820.42,7,0.15,Paper,280.82
O168,2033-12-21,Technology,East,36.28,3,0.11,Phones,7.04
O169,2023-05-05,Office Supplies,West,1477.44,3,0.24,Paper,317.98
O170,2030-07-07,Technology,West,321.25,6,0.2,Copiers,77.33
O171,2025-09-04,Furniture,South,1826.21,9,0.01,Tables,488.11
O172,2028-08-09,Technology,East,1787.74,1,0.11,Phones,339.35
O173,2025-09-30,Office Supplies,West,1314.72,5,0.2,Storage,275.5
O174,2034-07-03,Furniture,West,1351.02,1,0.17,Chairs,310.6
O175,2030-08-12,Technology,Central,30.57,1,0.29,Copiers,5.42
O176,2021-07-22,Furniture,East,1970.05,3,0.26,Furnishings,147.09
O177,2029-11-30,Furniture,West,1758.11,3,0.02,Tables,336.61
O178,2032-07-20,Office Supplies,South,1792.31,4,0.22,Binders,257.33
O179,2033-04-24,Furniture,Central,1325.3,3,0.1,Chairs,229.11
O180,2023-02-06,Office Supplies,Central,702.68,6,0.2,Paper,155.11
O181,2033-01-07,Furniture,East,1789.42,4,0.19,Chairs,330.91
O182,2027-05-17,Technology,East,597.2,8,0.15,Phones,148.58
O183,2029-01-10,Furniture,Central,1134.17,1,0.26,Chairs,109.49
O184,2021-07-17,Technology,South,217.47,8,0.21,Machines,41.12
O185,2026-04-15,Technology,East,1845.47,1,0.27,Phones,280.56
O186,2030-10-23,Furniture,East,298.73,1,0.08,Furnishings,63.05
O187,2022-09-01,Technology,Central,465.3,7,0.1,Accessories,105.88
O188,2029-12-17,Furniture,Central,1125.11,1,0.19,Furnishings,217.54
O189,2024-02-22,Furniture,East,1532.9,9,0.29,Chairs,288.83
O190,2032-09-22,Technology,West,1246.32,8,0.11,Phones,191.12
O191,2030-04-21,Technology,East,479.63,1,0.01,Phones,152.77
O192,2027-11-17,Office Supplies,West,21.87,2,0.13,Art,6.17
O193,2025-11-30,Technology,Central,1519.16,2,0.16,Copiers,349.05
O194,2022-10-22,Office Supplies,West,1970.71,2,0.24,Storage,375.62
O195,2028-09-12,Technology,South,1623.63,6,0.22,Accessories,199.21
O196,2024-10-01,Furniture,Central,931.21,4,0.29,Tables,124.28
O197,2026-06-10,Technology,East,1809.46,8,0.23,Accessories,345.41
O198,2021-05-27,Furniture,East,831.5,1,0.09,Chairs,204.0
O199,2029-10-25,Furniture,Central,1059.37,4,0.19,Bookcases,172.43
O200,2028-12-21,Furniture,Central,964.72,5,0.2,Bookcases,232.51
O201,2025-10-01,Office Supplies,South,906.3,9,0.3,Paper,115.19
O202,2026-01-18,Technology,Central,1554.88,5,0.04,Copiers,506.08
O203,2022-05-04,Furniture,East,1063.0,3,0.06,Tables,270.62
O204,2029-02-24,Furniture,South,647.1,4,0.05,Chairs,190.25
O205,2026-05-14,Office Supplies,East,531.15,7,0.18,Storage,117.55
O206,2027-07-14,Technology,West,94.74,1,0.04,Phones,26.44
O207,2028-12-29,Technology,Central,1174.73,6,0.2,Phones,120.02
O208,2033-12-20,Office Supplies,West,475.32,8,0.24,Storage,43.55
O209,2025-12-08,Office Supplies,East,313.31,1,0.13,Art,69.62
O210,2032-02-14,Technology,West,1314.58,8,0.17,Accessories,330.97
O211,2030-03-24,Office Supplies,West,1368.79,7,0.27,Storage,212.4
O212,2021-09-20,Technology,East,1509.27,1,0.17,Phones,226.99
O213,2022-09-16,Technology,East,1017.08,9,0.06,Accessories,221.76
O214,2023-10-14,Furniture,Central,1790.23,3,0.1,Chairs,435.87
O215,2030-12-23,Furniture,West,1873.96,2,0.16,Tables,392.7
O216,2034-08-17,Technology,South,1618.59,7,0.05,Copiers,515.29
O217,2026-08-12,Technology,South,1278.48,3,0.18,Phones,242.1
O218,2031-03-13,Technology,East,621.37,1,0.3,Accessories,64.16
O219,2033-06-15,Technology,East,1966.23,3,0.2,Accessories,351.46
O220,2029-07-06,Technology,West,562.79,6,0.11,Copiers,147.98
O221,2032-03-14,Technology,East,421.26,3,0.1,Accessories,97.33
O222,2026-08-19,Office Supplies,South,895.47,5,0.28,Paper,97.52
O223,2029-09-06,Technology,Central,132.54,9,0.26,Phones,16.01
O224,2025-08-10,Office Supplies,Central,1957.42,7,0.14,Storage,476.67
O225,2027-03-06,Office Supplies,West,1185.1,2,0.11,Storage,183.65
O226,2024-02-29,Technology,Central,1122.77,1,0.21,Phones,152.94
O227,2033-04-27,Technology,East,1318.48,7,0.09,Machines,234.63
O228,2029-09-27,Office Supplies,East,1004.11,4,0.04,Binders,323.02
O229,2025-08-24,Office Supplies,East,83.49,7,0.09,Binders,14.07
O230,2031-12-06,Technology,East,1232.38,6,0.13,Machines,306.53
O231,2033-12-07,Technology,West,1438.02,7,0.08,Accessories,366.07
O232,2033-10-27,Office Supplies,Central,845.16,4,0.07,Storage,219.67
O233,2025-07-07,Office Supplies,South,1519.45,3,0.0,Storage,477.89
O234,2024-12-16,Office Supplies,Central,469.46,5,0.19,Art,77.5
O235,2032-07-01,Furniture,East,458.13,3,0.18,Bookcases,77.93
O236,2031-09-29,Office Supplies,South,339.61,3,0.06,Art,72.44
O237,2021-09-11,Furniture,West,756.55,4,0.28,Tables,113.23
O238,2029-09-19,Technology,East,1697.08,8,0.12,Machines,474.28
O239,2028-01-02,Technology,East,1659.27,2,0.01,Copiers,553.53
O240,2021-04-09,Office Supplies,South,777.99,4,0.07,Storage,210.4
O241,2027-01-10,Technology,West,1186.46,3,0.21,Machines,273.99
O242,2029-02-09,Technology,South,1447.22,7,0.06,Copiers,455.19
O243,2034-08-14,Technology,West,497.59,2,0.02,Machines,153.89
O244,2033-02-20,Technology,East,352.92,1,0.19,Copiers,58.65
O245,2031-05-06,Furniture,Central,1944.75,1,0.16,Chairs,374.33
O246,2028-11-09,Furniture,East,1242.76,6,0.23,Tables,279.23
O247,2029-11-09,Office Supplies,Central,1963.2,3,0.23,Storage,364.18
O248,2031-05-20,Office Supplies,Central,688.76,7,0.29,Storage,122.67
O249,2023-08-15,Office Supplies,West,1412.0,8,0.02,Storage,292.87
O250,2032-02-20,Technology,South,460.76,5,0.01,Machines,103.25
O251,2021-06-10,Technology,West,537.18,5,0.3,Copiers,54.59
O252,2033-04-21,Furniture,East,1033.57,2,0.19,Furnishings,137.71
O253,2024-07-24,Furniture,South,652.84,8,0.21,Bookcases,150.79
O254,2034-06-13,Office Supplies,Central,351.89,1,0.03,Binders,76.55
O255,2031-12-02,Furniture,Central,540.5,9,0.02,Chairs,147.87
O256,2025-03-08,Furniture,East,90.78,1,0.05,Tables,17.05
O257,2024-05-03,Furniture,South,1414.76,1,0.13,Furnishings,223.88
O258,2033-04-24,Furniture,East,994.39,1,0.03,Tables,220.87
O259,2033-12-19,Furniture,East,206.6,7,0.13,Bookcases,58.35
O260,2029-07-02,Office Supplies,West,359.95,4,0.17,Storage,84.43
O261,2028-06-28,Office Supplies,East,223.02,7,0.0,Binders,67.14
O262,2033-06-22,Furniture,South,1232.93,5,0.03,Tables,397.55
O263,2023-08-13,Office Supplies,East,206.54,7,0.11,Storage,59.57
O264,2033-07-02,Technology,South,1513.48,7,0.02,Copiers,390.53
O265,2030-06-09,Furniture,Central,60.61,4,0.04,Furnishings,13.89
O266,2023-11-12,Technology,East,513.76,2,0.07,Copiers,109.07
O267,2025-08-21,Office Supplies,South,1783.52,8,0.13,Paper,250.33
O268,2030-05-30,Office Supplies,Central,1442.69,2,0.21,Binders,197.57
O269,2022-07-17,Technology,South,164.48,9,0.04,Phones,38.37
O270,2027-10-22,Office Supplies,Central,1645.83,5,0.22,Storage,157.23
O271,2030-03-09,Furniture,West,996.21,9,0.26,Bookcases,201.62
O272,2021-08-14,Technology,East,1696.63,9,0.2,Copiers,385.44
O273,2034-05-26,Furniture,East,1209.46,8,0.01,Furnishings,281.47
O274,2023-08-18,Technology,Central,1370.03,8,0.13,Copiers,349.88
O275,2033-06-15,Office Supplies,West,1987.13,4,0.2,Storage,436.04
O276,2029-05-26,Technology,South,480.02,4,0.29,Machines,50.52
O277,2023-03-27,Technology,West,1255.41,2,0.29,Accessories,200.31
O278,2034-01-07,Furniture,South,931.44,4,0.12,Furnishings,170.9
O279,2033-09-17,Office Supplies,South,98.11,4,0.18,Binders,11.83
O280,2029-07-18,Furniture,East,48.65,6,0.27,Furnishings,6.85
O281,2021-01-17,Office Supplies,Central,256.07,3,0.25,Art,36.04
O282,2024-05-28,Furniture,East,1305.2,2,0.14,Tables,196.72
O283,2027-01-15,Technology,East,1142.98,8,0.08,Accessories,266.98
O284,2027-11-30,Furniture,East,1115.79,2,0.04,Bookcases,359.74
O285,2023-12-06,Office Supplies,South,83.08,8,0.15,Art,19.5
O286,2030-06-07,Office Supplies,East,949.22,7,0.22,Paper,190.63
O287,2028-01-10,Technology,South,1850.75,3,0.29,Phones,312.1
O288,2023-11-27,Office Supplies,Central,807.23,6,0.26,Storage,146.67
O289,2027-05-17,Furniture,South,1257.35,6,0.06,Furnishings,217.5
O290,2030-05-14,Technology,South,1564.04,5,0.22,Phones,357.7
O291,2021-10-29,Office Supplies,West,1572.17,8,0.09,Paper,439.45
O292,2032-09-16,Office Supplies,East,1048.17,5,0.21,Storage,142.75
O293,2022-08-30,Furniture,East,1718.74,7,0.2,Chairs,314.38
O294,2029-09-06,Furniture,East,794.93,6,0.08,Furnishings,200.52
O295,2022-12-01,Technology,East,1779.61,7,0.07,Phones,328.86
O296,2024-02-14,Office Supplies,West,495.65,9,0.03,Storage,110.58
O297,2021-07-10,Furniture,West,574.83,3,0.02,Furnishings,111.22
O298,2027-04-20,Technology,West,125.18,7,0.26,Machines,24.99
O299,2023-09-08,Office Supplies,West,1595.25,3,0.01,Binders,317.03
O300,2029-02-23,Office Supplies,East,845.77,2,0.03,Storage,196.9
O301,2024-03-30,Technology,South,473.65,7,0.07,Machines,83.71
O302,2030-02-10,Technology,Central,478.94,4,0.27,Copiers,87.27
O303,2030-04-18,Furniture,West,1804.77,1,0.1,Tables,521.12
O304,2021-05-08,Office Supplies,South,1671.15,6,0.06,Binders,425.18
O305,2026-08-28,Office Supplies,West,1115.99,6,0.21,Storage,129.38
O306,2025-12-22,Office Supplies,East,1239.9,6,0.1,Paper,289.79
O307,2022-07-24,Technology,East,959.16,2,0.1,Accessories,254.71
O308,2026-03-11,Furniture,South,795.5,1,0.22,Bookcases,157.32
O309,2028-06-26,Office Supplies,South,1832.64,3,0.08,Storage,497.12
O310,2031-07-31,Technology,South,268.71,2,0.27,Phones,28.72
O311,2033-12-05,Office Supplies,East,848.52,6,0.17,Binders,106.96
O312,2031-12-29,Furniture,East,702.23,6,0.16,Furnishings,99.96
O313,2028-12-11,Office Supplies,Central,1006.34,5,0.08,Binders,305.25
O314,2025-08-14,Furniture,South,926.11,5,0.25,Bookcases,154.69
O315,2029-03-29,Furniture,Central,1047.4,9,0.17,Furnishings,234.81
O316,2021-06-04,Office Supplies,West,297.04,5,0.05,Paper,92.04
O317,2027-12-13,Office Supplies,Central,1036.02,6,0.06,Paper,308.64
O318,2024-11-10,Furniture,West,499.99,4,0.14,Bookcases,81.38
O319,2032-02-10,Technology,West,384.98,1,0.23,Machines,36.08
O320,2023-02-24,Furniture,Central,148.37,4,0.28,Furnishings,29.49
O321,2029-09-11,Office Supplies,South,1530.05,2,0.2,Binders,378.31
O322,2032-11-20,Office Supplies,West,866.34,3,0.15,Paper,182.02
O323,2028-09-07,Technology,South,1260.75,7,0.08,Accessories,369.73
O324,2022-06-22,Furniture,East,1460.63,7,0.2,Chairs,196.85
O325,2026-01-16,Furniture,West,1365.05,1,0.29,Tables,97.81
O326,2027-09-22,Furniture,East,951.59,8,0.14,Chairs,195.05
O327,2022-06-09,Office Supplies,Central,788.04,7,0.05,Paper,233.79
O328,2029-01-29,Furniture,South,764.4,1,0.03,Tables,216.48
O329,2032-04-24,Technology,Central,1287.3,8,0.08,Accessories,329.03
O330,2034-02-02,Office Supplies,West,999.69,2,0.17,Binders,117.58
O331,2032-04-08,Office Supplies,East,1701.28,8,0.28,Paper,183.1
O332,2027-06-27,Furniture,West,1751.91,3,0.09,Tables,518.43
O333,2031-07-15,Technology,Central,357.71,7,0.09,Machines,62.65
O334,2033-04-23,Office Supplies,South,289.74,6,0.14,Paper,69.23
O335,2028-05-25,Office Supplies,South,1268.19,5,0.28,Storage,220.53
O336,2023-08-30,Furniture,West,616.43,2,0.13,Tables,150.98
O337,2024-03-12,Furniture,West,56.77,2,0.07,Tables,17.79
O338,2034-07-01,Technology,East,1779.51,1,0.05,Machines,420.64
O339,2028-08-06,Furniture,Central,469.26,9,0.14,Furnishings,109.02
O340,2026-06-06,Technology,West,1859.98,8,0.24,Phones,202.83
O341,2023-05-04,Office Supplies,East,1440.52,8,0.09,Binders,309.65
O342,2032-05-09,Technology,West,1530.05,1,0.15,Copiers,304.07
O343,2031-03-26,Technology,South,418.89,5,0.18,Machines,59.58
O344,2031-04-28,Technology,East,483.7,6,0.14,Phones,128.67
O345,2022-07-29,Office Supplies,East,1052.11,2,0.06,Binders,291.89
O346,2029-12-06,Furniture,West,360.76,5,0.28,Chairs,37.0
O347,2024-02-23,Office Supplies,Central,624.75,6,0.17,Art,84.49
O348,2025-09-12,Furniture,South,656.5,9,0.22,Furnishings,87.43
O349,2034-01-30,Technology,Central,336.07,1,0.19,Copiers,66.69
O350,2034-07-05,Technology,East,426.26,3,0.3,Machines,74.15
O351,2031-07-22,Technology,Central,1581.33,9,0.14,Machines,324.92
O352,2027-10-28,Technology,East,351.05,1,0.13,Machines,52.79
O353,2028-04-14,Technology,Central,76.35,1,0.11,Copiers,13.93
O354,2029-07-22,Furniture,West,1266.12,1,0.11,Tables,249.14
O355,2029-05-10,Furniture,Central,1952.45,7,0.08,Tables,498.7
O356,2021-01-05,Technology,East,675.8,5,0.29,Phones,62.17
O357,2034-05-02,Office Supplies,South,254.94,6,0.26,Paper,26.79
O358,2023-05-27,Office Supplies,South,1149.37,8,0.1,Paper,221.75
O359,2023-09-19,Technology,South,1814.58,2,0.09,Copiers,442.54
O360,2032-05-05,Furniture,East,1572.44,2,0.03,Bookcases,407.1
O361,2032-12-13,Office Supplies,Central,1252.58,3,0.26,Paper,245.81
O362,2033-03-24,Office Supplies,South,643.81,3,0.11,Paper,160.75
O363,2022-09-28,Office Supplies,South,1092.92,3,0.17,Paper,235.0
O364,2025-08-21,Technology,South,200.66,4,0.27,Phones,17.7
O365,2025-08-10,Office Supplies,West,1364.31,3,0.12,Storage,202.31
O366,2034-01-05,Office Supplies,East,1455.69,2,0.24,Paper,227.82
O367,2021-04-30,Office Supplies,East,1930.76,9,0.13,Art,281.4
O368,2023-04-11,Office Supplies,East,535.59,6,0.21,Paper,80.13
O369,2031-01-24,Furniture,East,56.54,3,0.13,Furnishings,7.85
O370,2024-10-01,Technology,East,1100.3,9,0.12,Phones,183.22
O371,2023-01-11,Technology,West,1419.45,4,0.3,Machines,94.47
O372,2021-04-27,Furniture,Central,1585.01,4,0.18,Bookcases,364.79
O373,2028-10-09,Furniture,West,403.6,8,0.11,Chairs,79.48
O374,2024-02-25,Technology,South,538.27,7,0.08,Phones,92.49
O375,2026-04-16,Office Supplies,West,1034.93,7,0.01,Paper,243.02
O376,2023-10-10,Office Supplies,East,674.59,7,0.21,Binders,133.18
O377,2025-07-23,Technology,West,1723.81,5,0.11,Phones,442.75
O378,2023-12-18,Office Supplies,East,958.05,7,0.25,Art,89.08
O379,2033-12-13,Furniture,West,1603.17,4,0.11,Tables,419.69
O380,2022-05-28,Office Supplies,East,1169.63,8,0.11,Storage,234.61
